Team,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
Midnight Wisps,8,10,25,40,46,46,61,71,77,89,114,139
Savage Speeders,15,15,35,38,58,62,82,94,95,103,118,138
Oceanics,25,29,38,49,57,72,74,75,100,111,120,130
O'rangers,10,22,25,33,42,51,62,73,85,105,116,121
Balls of Chaos,11,36,61,62,65,66,72,92,97,98,101,116
Hazers,20,40,42,44,69,71,79,81,91,96,103,111
Snowballs,12,19,19,28,43,68,80,86,90,94,100,110
Raspberry Racers,2,8,19,31,43,63,64,73,88,98,99,110
Thunderbolts,1,12,24,49,54,59,68,83,83,98,102,109
Crazy Cat's Eyes,5,20,21,31,41,51,54,59,66,91,96,96
Team Galactic,4,9,14,14,41,47,57,65,73,79,91,95
Team Momo,3,6,13,17,18,26,51,54,74,81,89,90
Minty Maniacs,0,9,17,22,33,44,48,52,54,54,74,77
Limers ,6,7,11,11,15,27,27,52,61,70,70,76
Mellow Yellow,7,17,23,29,29,36,41,41,52,54,64,76
Pinkies,9,18,28,35,37,40,47,54,57,60,62,65