Racer,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12
GHO,25,50,68,98,104,104,120,136,161,173,180,194
BPL,21,15,9,14,0,11,25,30,6,18,16,173
DRA,18,18,30,15,21,0,15,12,10,9,12,171
SLR,13,0,0,3,5,21,30,9,18,30,9,150
ELC,15,30,8,2,0,3,6,6,2,21,30,144
MMM,1,16,16,6,30,9,9,14,3,10,5,144
SMA,5,4,5,16,15,0,14,15,30,14,15,142
POL,30,11,13,18,2,0,21,25,15,0,6,141
SUM,0,0,0,0,9,30,13,18,8,0,18,126
FSY,16,10,0,10,0,7,10,8,13,11,21,122
TTA,7,0,12,25,25,1,2,3,12,13,8,121
TFS,0,21,25,0,4,15,7,5,16,15,0,108
SBL,0,0,10,21,8,0,0,10,14,25,13,104
WOD,9,14,21,0,2,10,8,7,11,0,10,102
H2B,11,5,0,0,12,8,4,21,9,4,25,99
RTA,8,7,1,13,11,0,12,11,5,16,0,99
BSK,12,13,0,0,13,0,5,2,21,6,8,98
GSY,4,8,14,9,16,0,11,4,0,8,11,92
SRT,14,12,6,12,0,0,18,13,7,7,0,89
CMT,0,0,0,0,0,14,3,1,4,5,14,66
BLF,0,0,7,5,14,32,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
OLM,6,0,11,0,3,32,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
RFR,0,0,0,11,0,29,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
QUI,2,6,2,7,10,27,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
MMS,0,0,4,0,18,26,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
COB,0,0,0,0,0,25,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
OBL,0,0,0,0,7,25,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BLA,0,9,0,0,0,22,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
WWW,10,0,0,1,0,13,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
SST,0,0,0,8,0,8,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
CYE,0,0,3,0,0,8,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
BMO,0,0,0,4,0,4,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED
DON,0,0,0,0,0,0,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED